"","V1"
"TRACTCE.228","540800"
"TRACTCE.229","920012"
"TRACTCE.230","535702"
"TRACTCE.231","127803"
"TRACTCE.232","111301"
"TRACTCE.233","900504"
"TRACTCE.234","119202"
"TRACTCE.235","123520"
"TRACTCE.236","231800"
"TRACTCE.237","533001"
"TRACTCE.238","401703"
"TRACTCE.239","532102"
"TRACTCE.240","433306"
"TRACTCE.241","402600"
"TRACTCE.242","122120"
"TRACTCE.243","433102"
"TRACTCE.244","533104"
"TRACTCE.245","920015"
"TRACTCE.246","502500"
"TRACTCE.247","209102"
"TRACTCE.248","134710"
"TRACTCE.249","310703"
"TRACTCE.250","131800"
"TRACTCE.251","910712"
"TRACTCE.252","221710"
"TRACTCE.253","190510"
"TRACTCE.254","910002"
"TRACTCE.255","554700"
"TRACTCE.256","195710"
"TRACTCE.257","228500"
"TRACTCE.258","532900"
"TRACTCE.259","460302"
"TRACTCE.260","501200"
"TRACTCE.261","239201"
"TRACTCE.262","600501"
"TRACTCE.263","573403"
"TRACTCE.264","407701"
"TRACTCE.265","237500"
"TRACTCE.266","228800"
"TRACTCE.267","197300"
"TRACTCE.268","543201"
"TRACTCE.269","210010"
"TRACTCE.270","293202"
"TRACTCE.271","433801"
"TRACTCE.272","134303"
"TRACTCE.273","111206"
"TRACTCE.274","124700"
"TRACTCE.275","113101"
"TRACTCE.276","901011"
"TRACTCE.277","540901"
"TRACTCE.278","405500"
"TRACTCE.279","111201"
"TRACTCE.280","211122"
"TRACTCE.281","531000"
"TRACTCE.282","910201"
"TRACTCE.283","400602"
"TRACTCE.284","572301"
"TRACTCE.285","191201"
"TRACTCE.286","191710"
"TRACTCE.287","211703"
"TRACTCE.288","910813"
"TRACTCE.289","575103"
"TRACTCE.290","601401"
"TRACTCE.291","572700"
"TRACTCE.292","601402"
"TRACTCE.293","700102"
"TRACTCE.294","239801"
"TRACTCE.295","461000"
"TRACTCE.296","433403"
"TRACTCE.297","199700"
"TRACTCE.298","542103"
"TRACTCE.299","104320"
"TRACTCE.300","269907"
"TRACTCE.301","228720"
"TRACTCE.302","553502"
"TRACTCE.303","571701"
"TRACTCE.304","481603"
"TRACTCE.305","700102"
"TRACTCE.306","600704"
"TRACTCE.307","543802"
"TRACTCE.308","431501"
"TRACTCE.309","576200"
"TRACTCE.310","910403"
"TRACTCE.311","201120"
"TRACTCE.312","106510"
"TRACTCE.313","208610"
"TRACTCE.314","920036"
"TRACTCE.315","403406"
"TRACTCE.316","404100"
"TRACTCE.317","533402"
"TRACTCE.318","432700"
"TRACTCE.319","601501"
"TRACTCE.320","532900"
"TRACTCE.321","218800"
"TRACTCE.322","601801"
"TRACTCE.323","532900"
"TRACTCE.324","570304"
"TRACTCE.325","187102"
"TRACTCE.326","920104"
"TRACTCE.327","570301"
"TRACTCE.328","501504"
"TRACTCE.329","403722"
"TRACTCE.330","109601"
"TRACTCE.331","226700"
"TRACTCE.332","195804"
"TRACTCE.333","131702"
"TRACTCE.334","570501"
"TRACTCE.335","500402"
"TRACTCE.336","530302"
"TRACTCE.337","226002"
"TRACTCE.338","212306"
"TRACTCE.339","572900"
"TRACTCE.340","576302"
"TRACTCE.341","240200"
"TRACTCE.342","294200"
"TRACTCE.343","402903"
"TRACTCE.344","600801"
"TRACTCE.345","204300"
"TRACTCE.346","218701"
"TRACTCE.347","302002"
"TRACTCE.348","534900"
"TRACTCE.349","294302"
"TRACTCE.350","405301"
"TRACTCE.351","570001"
"TRACTCE.352","553300"
"TRACTCE.353","293307"
"TRACTCE.354","651302"
"TRACTCE.355","603801"
"TRACTCE.356","901102"
"TRACTCE.357","239202"
"TRACTCE.358","404701"
"TRACTCE.359","552400"
"TRACTCE.360","127603"
"TRACTCE.361","434003"
"TRACTCE.362","271200"
"TRACTCE.363","237710"
"TRACTCE.364","240401"
"TRACTCE.365","238320"
"TRACTCE.366","240700"
"TRACTCE.367","433102"
"TRACTCE.368","552200"
"TRACTCE.369","301204"
"TRACTCE.370","405301"
"TRACTCE.371","204410"
"TRACTCE.372","433504"
"TRACTCE.373","401704"
