"","V1"
"TRACTCE.998","570702"
"TRACTCE.999","572002"
"TRACTCE.1000","554405"
"TRACTCE.1001","543321"
"TRACTCE.1002","600702"
"TRACTCE.1003","620800"
"TRACTCE.1004","701902"
"TRACTCE.1005","211704"
"TRACTCE.1006","620101"
"TRACTCE.1007","500900"
"TRACTCE.1008","650602"
"TRACTCE.1009","188201"
"TRACTCE.1010","621102"
"TRACTCE.1011","603102"
"TRACTCE.1012","211420"
"TRACTCE.1013","209520"
"TRACTCE.1014","601501"
"TRACTCE.1015","620701"
"TRACTCE.1016","650502"
"TRACTCE.1017","216401"
"TRACTCE.1018","651221"
"TRACTCE.1019","405702"
"TRACTCE.1020","670100"
"TRACTCE.1021","403312"
"TRACTCE.1022","621301"
"TRACTCE.1023","275302"
"TRACTCE.1024","573601"
"TRACTCE.1025","278001"
"TRACTCE.1026","237101"
"TRACTCE.1027","540102"
"TRACTCE.1028","621104"
"TRACTCE.1029","651102"
"TRACTCE.1030","554801"
"TRACTCE.1031","554517"
"TRACTCE.1032","271902"
"TRACTCE.1033","620400"
"TRACTCE.1034","551300"
"TRACTCE.1035","574902"
"TRACTCE.1036","574902"
"TRACTCE.1037","500202"
"TRACTCE.1038","603006"
"TRACTCE.1039","650602"
"TRACTCE.1040","296300"
"TRACTCE.1041","532605"
"TRACTCE.1042","503302"
"TRACTCE.1043","503802"
"TRACTCE.1044","239310"
"TRACTCE.1045","530005"
"TRACTCE.1046","503602"
"TRACTCE.1047","502302"
"TRACTCE.1048","104124"
"TRACTCE.1049","119800"
"TRACTCE.1050","700502"
"TRACTCE.1051","273100"
"TRACTCE.1052","192420"
"TRACTCE.1053","267502"
"TRACTCE.1054","212102"
"TRACTCE.1055","192002"
"TRACTCE.1056","191204"
"TRACTCE.1057","269100"
"TRACTCE.1058","576301"
"TRACTCE.1059","293306"
"TRACTCE.1060","533601"
"TRACTCE.1061","670411"
"TRACTCE.1062","123203"
"TRACTCE.1063","311700"
"TRACTCE.1064","123902"
"TRACTCE.1065","310703"
"TRACTCE.1066","920329"
"TRACTCE.1067","221810"
"TRACTCE.1068","571502"
"TRACTCE.1069","224420"
"TRACTCE.1070","213402"
"TRACTCE.1071","137201"
"TRACTCE.1072","264000"
"TRACTCE.1073","310800"
"TRACTCE.1074","311300"
"TRACTCE.1075","143100"
"TRACTCE.1076","920322"
"TRACTCE.1077","534101"
"TRACTCE.1078","555202"
"TRACTCE.1079","143200"
"TRACTCE.1080","553400"
"TRACTCE.1081","310400"
"TRACTCE.1082","214100"
"TRACTCE.1083","433403"
"TRACTCE.1084","650001"
"TRACTCE.1085","603600"
"TRACTCE.1086","211320"
"TRACTCE.1087","651101"
"TRACTCE.1088","123103"
"TRACTCE.1089","531602"
"TRACTCE.1090","139200"
"TRACTCE.1091","543702"
"TRACTCE.1092","651401"
"TRACTCE.1093","651101"
"TRACTCE.1094","621324"
"TRACTCE.1095","265700"
"TRACTCE.1096","532102"
"TRACTCE.1097","195802"
"TRACTCE.1098","104320"
"TRACTCE.1099","204700"
"TRACTCE.1100","570603"
"TRACTCE.1101","574500"
"TRACTCE.1102","574601"
"TRACTCE.1103","228800"
"TRACTCE.1104","113212"
"TRACTCE.1105","403702"
"TRACTCE.1106","301601"
"TRACTCE.1107","433305"
"TRACTCE.1108","103200"
"TRACTCE.1109","502500"
"TRACTCE.1110","408724"
"TRACTCE.1111","206031"
"TRACTCE.1112","207102"
"TRACTCE.1113","133100"
"TRACTCE.1114","534102"
"TRACTCE.1115","533601"
"TRACTCE.1116","920115"
"TRACTCE.1117","462301"
"TRACTCE.1118","211420"
"TRACTCE.1119","920012"
"TRACTCE.1120","293202"
"TRACTCE.1121","552800"
"TRACTCE.1122","128101"
"TRACTCE.1123","650604"
"TRACTCE.1124","651102"
"TRACTCE.1125","702600"
"TRACTCE.1126","531901"
"TRACTCE.1127","240600"
"TRACTCE.1128","190901"
"TRACTCE.1129","532500"
"TRACTCE.1130","115101"
"TRACTCE.1131","533107"
"TRACTCE.1132","553701"
"TRACTCE.1133","551102"
"TRACTCE.1134","183610"
"TRACTCE.1135","404501"
"TRACTCE.1136","650901"
"TRACTCE.1137","267600"
"TRACTCE.1138","300600"
"TRACTCE.1139","600304"
"TRACTCE.1140","573002"
"TRACTCE.1141","602402"
"TRACTCE.1142","535300"
"TRACTCE.1143","536000"
"TRACTCE.1144","601501"
"TRACTCE.1145","402903"
"TRACTCE.1146","199202"
"TRACTCE.1147","190100"
"TRACTCE.1148","542000"
"TRACTCE.1149","228600"
"TRACTCE.1150","543703"
"TRACTCE.1151","481103"
"TRACTCE.1152","228210"
"TRACTCE.1153","208903"
"TRACTCE.1154","533104"
"TRACTCE.1155","570502"
"TRACTCE.1156","226001"
"TRACTCE.1157","191302"
"TRACTCE.1158","541100"
"TRACTCE.1159","531602"
"TRACTCE.1160","117510"
"TRACTCE.1161","267200"
"TRACTCE.1162","540501"
"TRACTCE.1163","551102"
"TRACTCE.1164","241002"
"TRACTCE.1165","207301"
"TRACTCE.1166","542200"
"TRACTCE.1167","401102"
"TRACTCE.1168","602508"
"TRACTCE.1169","532101"
"TRACTCE.1170","181600"
"TRACTCE.1171","320300"
"TRACTCE.1172","213401"
"TRACTCE.1173","310800"
"TRACTCE.1174","702803"
"TRACTCE.1175","294820"
"TRACTCE.1176","532605"
"TRACTCE.1177","533402"
"TRACTCE.1178","503105"
"TRACTCE.1179","101300"
"TRACTCE.1180","604001"
"TRACTCE.1181","920042"
"TRACTCE.1182","238100"
"TRACTCE.1183","570501"
"TRACTCE.1184","231100"
"TRACTCE.1185","402101"
"TRACTCE.1186","181400"
"TRACTCE.1187","920035"
"TRACTCE.1188","920016"
"TRACTCE.1189","403323"
"TRACTCE.1190","208401"
"TRACTCE.1191","533402"
"TRACTCE.1192","000303"
"TRACTCE.1193","501002"
"TRACTCE.1194","554600"
"TRACTCE.1195","550500"
"TRACTCE.1196","139701"
"TRACTCE.1197","122000"
"TRACTCE.1198","232800"
"TRACTCE.1199","910302"
"TRACTCE.1200","551402"
"TRACTCE.1201","226420"
"TRACTCE.1202","402303"
"TRACTCE.1203","481300"
"TRACTCE.1204","531301"
"TRACTCE.1205","554406"
"TRACTCE.1206","296600"
"TRACTCE.1207","553502"
"TRACTCE.1208","101300"
"TRACTCE.1209","402706"
"TRACTCE.1210","190700"
"TRACTCE.1211","551300"
"TRACTCE.1212","232110"
"TRACTCE.1213","601401"
"TRACTCE.1214","209401"
"TRACTCE.1215","480803"
"TRACTCE.1216","480102"
"TRACTCE.1217","213402"
"TRACTCE.1218","221303"
"TRACTCE.1219","533104"
"TRACTCE.1220","535701"
"TRACTCE.1221","214100"
"TRACTCE.1222","900504"
"TRACTCE.1223","571400"
"TRACTCE.1224","554103"
"TRACTCE.1225","650502"
"TRACTCE.1226","702400"
"TRACTCE.1227","209402"
"TRACTCE.1228","301801"
"TRACTCE.1229","212102"
"TRACTCE.1230","534102"
"TRACTCE.1231","270100"
"TRACTCE.1232","226700"
"TRACTCE.1233","543202"
"TRACTCE.1234","502301"
"TRACTCE.1235","406702"
"TRACTCE.1236","232600"
"TRACTCE.1237","481201"
"TRACTCE.1238","131300"
"TRACTCE.1239","433200"
"TRACTCE.1240","572001"
"TRACTCE.1241","302003"
"TRACTCE.1242","229100"
"TRACTCE.1243","240010"
"TRACTCE.1244","226002"
"TRACTCE.1245","192620"
"TRACTCE.1246","125100"
"TRACTCE.1247","670003"
"TRACTCE.1248","234502"
"TRACTCE.1249","204820"
"TRACTCE.1250","901102"
"TRACTCE.1251","572900"
"TRACTCE.1252","134303"
"TRACTCE.1253","135203"
"TRACTCE.1254","134423"
"TRACTCE.1255","208904"
"TRACTCE.1256","603001"
"TRACTCE.1257","121102"
"TRACTCE.1258","531504"
"TRACTCE.1259","532900"
"TRACTCE.1260","553602"
"TRACTCE.1261","910711"
"TRACTCE.1262","573401"
"TRACTCE.1263","404803"
"TRACTCE.1264","554515"
"TRACTCE.1265","234901"
"TRACTCE.1266","900805"
"TRACTCE.1267","221900"
"TRACTCE.1268","203200"
"TRACTCE.1269","134520"
"TRACTCE.1270","192620"
"TRACTCE.1271","204420"
"TRACTCE.1272","500800"
"TRACTCE.1273","553200"
"TRACTCE.1274","503501"
"TRACTCE.1275","570402"
"TRACTCE.1276","920102"
"TRACTCE.1277","531000"
"TRACTCE.1278","550602"
"TRACTCE.1279","534900"
"TRACTCE.1280","542502"
"TRACTCE.1281","543100"
"TRACTCE.1282","651001"
"TRACTCE.1283","602509"
"TRACTCE.1284","433801"
"TRACTCE.1285","240200"
"TRACTCE.1286","553502"
"TRACTCE.1287","115201"
"TRACTCE.1288","430400"
"TRACTCE.1289","531604"
"TRACTCE.1290","104108"
"TRACTCE.1291","650401"
"TRACTCE.1292","228720"
"TRACTCE.1293","228500"
"TRACTCE.1294","433200"
"TRACTCE.1295","276100"
"TRACTCE.1296","408504"
"TRACTCE.1297","300200"
"TRACTCE.1298","432101"
"TRACTCE.1299","234000"
"TRACTCE.1300","310701"
"TRACTCE.1301","576601"
"TRACTCE.1302","570002"
"TRACTCE.1303","241201"
"TRACTCE.1304","501504"
"TRACTCE.1305","910502"
"TRACTCE.1306","134903"
"TRACTCE.1307","122120"
"TRACTCE.1308","226700"
"TRACTCE.1309","186401"
"TRACTCE.1310","430901"
"TRACTCE.1311","221220"
"TRACTCE.1312","406102"
"TRACTCE.1313","404301"
"TRACTCE.1314","239802"
"TRACTCE.1315","240800"
"TRACTCE.1316","481500"
"TRACTCE.1317","226420"
"TRACTCE.1318","267600"
"TRACTCE.1319","553702"
"TRACTCE.1320","104401"
"TRACTCE.1321","575802"
"TRACTCE.1322","191120"
"TRACTCE.1323","231720"
"TRACTCE.1324","218220"
"TRACTCE.1325","228220"
"TRACTCE.1326","218500"
"TRACTCE.1327","232110"
"TRACTCE.1328","295103"
"TRACTCE.1329","132102"
"TRACTCE.1330","231500"
"TRACTCE.1331","502500"
"TRACTCE.1332","310703"
"TRACTCE.1333","294830"
"TRACTCE.1334","541603"
"TRACTCE.1335","183810"
"TRACTCE.1336","534803"
"TRACTCE.1337","433501"
"TRACTCE.1338","432802"
"TRACTCE.1339","293202"
"TRACTCE.1340","533105"
"TRACTCE.1341","910205"
"TRACTCE.1342","191201"
"TRACTCE.1343","234300"
"TRACTCE.1344","191620"
"TRACTCE.1345","220000"
"TRACTCE.1346","531202"
"TRACTCE.1347","551300"
"TRACTCE.1348","228310"
"TRACTCE.1349","531604"
"TRACTCE.1350","502602"
"TRACTCE.1351","576401"
"TRACTCE.1352","405600"
"TRACTCE.1353","433801"
"TRACTCE.1354","574901"
"TRACTCE.1355","651222"
"TRACTCE.1356","572002"
"TRACTCE.1357","650501"
"TRACTCE.1358","621102"
"TRACTCE.1359","703002"
"TRACTCE.1360","570701"
"TRACTCE.1361","571502"
"TRACTCE.1362","501400"
"TRACTCE.1363","500700"
"TRACTCE.1364","530102"
"TRACTCE.1365","133000"
"TRACTCE.1366","406102"
"TRACTCE.1367","101220"
"TRACTCE.1368","533402"
"TRACTCE.1369","190510"
"TRACTCE.1370","229300"
"TRACTCE.1371","920035"
"TRACTCE.1372","900504"
"TRACTCE.1373","570404"
"TRACTCE.1374","132300"
"TRACTCE.1375","620521"
"TRACTCE.1376","134303"
"TRACTCE.1377","128101"
"TRACTCE.1378","554700"
"TRACTCE.1379","128910"
"TRACTCE.1380","603301"
"TRACTCE.1381","571701"
"TRACTCE.1382","900803"
"TRACTCE.1383","203200"
"TRACTCE.1384","620400"
"TRACTCE.1385","403902"
"TRACTCE.1386","576200"
"TRACTCE.1387","702002"
"TRACTCE.1388","601401"
"TRACTCE.1389","702600"
"TRACTCE.1390","433901"
"TRACTCE.1391","190510"
"TRACTCE.1392","432901"
"TRACTCE.1393","900701"
"TRACTCE.1394","117520"
"TRACTCE.1395","461901"
"TRACTCE.1396","400403"
"TRACTCE.1397","294701"
"TRACTCE.1398","901102"
"TRACTCE.1399","273502"
"TRACTCE.1400","577100"
"TRACTCE.1401","207710"
"TRACTCE.1402","293202"
"TRACTCE.1403","127300"
"TRACTCE.1404","408401"
"TRACTCE.1405","226001"
"TRACTCE.1406","501803"
"TRACTCE.1407","310703"
"TRACTCE.1408","534202"
"TRACTCE.1409","650901"
"TRACTCE.1410","570601"
"TRACTCE.1411","532800"
"TRACTCE.1412","139401"
"TRACTCE.1413","543802"
"TRACTCE.1414","120400"
"TRACTCE.1415","532605"
"TRACTCE.1416","481103"
"TRACTCE.1417","543502"
"TRACTCE.1418","433700"
"TRACTCE.1419","481402"
"TRACTCE.1420","573202"
"TRACTCE.1421","104310"
"TRACTCE.1422","408722"
"TRACTCE.1423","554519"
"TRACTCE.1424","571701"
"TRACTCE.1425","900806"
"TRACTCE.1426","293202"
"TRACTCE.1427","203710"
"TRACTCE.1428","294610"
"TRACTCE.1429","540102"
"TRACTCE.1430","404501"
"TRACTCE.1431","190901"
"TRACTCE.1432","531702"
"TRACTCE.1433","910401"
"TRACTCE.1434","218600"
"TRACTCE.1435","199201"
"TRACTCE.1436","900803"
"TRACTCE.1437","571900"
"TRACTCE.1438","576903"
"TRACTCE.1439","121801"
"TRACTCE.1440","433102"
"TRACTCE.1441","531800"
"TRACTCE.1442","190510"
"TRACTCE.1443","265510"
"TRACTCE.1444","141101"
"TRACTCE.1445","293301"
"TRACTCE.1446","207301"
"TRACTCE.1447","132001"
"TRACTCE.1448","601401"
"TRACTCE.1449","302202"
"TRACTCE.1450","500402"
"TRACTCE.1451","405900"
"TRACTCE.1452","127520"
"TRACTCE.1453","433200"
"TRACTCE.1454","183702"
"TRACTCE.1455","191410"
"TRACTCE.1456","408202"
"TRACTCE.1457","650902"
"TRACTCE.1458","242300"
"TRACTCE.1459","575401"
"TRACTCE.1460","540502"
"TRACTCE.1461","573300"
"TRACTCE.1462","191204"
"TRACTCE.1463","211120"
"TRACTCE.1464","113232"
"TRACTCE.1465","920312"
"TRACTCE.1466","264301"
"TRACTCE.1467","910001"
"TRACTCE.1468","534900"
"TRACTCE.1469","237800"
"TRACTCE.1470","534404"
"TRACTCE.1471","211202"
"TRACTCE.1472","532302"
"TRACTCE.1473","543304"
"TRACTCE.1474","570001"
"TRACTCE.1475","432402"
"TRACTCE.1476","553601"
"TRACTCE.1477","575401"
"TRACTCE.1478","127520"
"TRACTCE.1479","571704"
"TRACTCE.1480","104201"
"TRACTCE.1481","183610"
"TRACTCE.1482","218400"
"TRACTCE.1483","108102"
"TRACTCE.1484","104704"
"TRACTCE.1485","134521"
"TRACTCE.1486","430802"
"TRACTCE.1487","408138"
"TRACTCE.1488","534900"
"TRACTCE.1489","191720"
"TRACTCE.1490","502005"
"TRACTCE.1491","208302"
"TRACTCE.1492","243000"
"TRACTCE.1493","463400"
"TRACTCE.1494","408724"
"TRACTCE.1495","554302"
"TRACTCE.1496","533105"
"TRACTCE.1497","432601"
"TRACTCE.1498","271200"
"TRACTCE.1499","124400"
"TRACTCE.1500","552200"
"TRACTCE.1501","124105"
"TRACTCE.1502","910202"
"TRACTCE.1503","530901"
"TRACTCE.1504","407601"
"TRACTCE.1505","535802"
"TRACTCE.1506","501504"
"TRACTCE.1507","533104"
"TRACTCE.1508","533001"
"TRACTCE.1509","532800"
"TRACTCE.1510","650602"
"TRACTCE.1511","602507"
"TRACTCE.1512","219300"
"TRACTCE.1513","571200"
"TRACTCE.1514","910403"
"TRACTCE.1515","231710"
"TRACTCE.1516","224310"
"TRACTCE.1517","239502"
"TRACTCE.1518","117202"
"TRACTCE.1519","405101"
"TRACTCE.1520","480101"
"TRACTCE.1521","620602"
"TRACTCE.1522","550601"
"TRACTCE.1523","276100"
"TRACTCE.1524","111202"
"TRACTCE.1525","543305"
"TRACTCE.1526","123410"
"TRACTCE.1527","401703"
"TRACTCE.1528","241120"
"TRACTCE.1529","603101"
"TRACTCE.1530","201402"
"TRACTCE.1531","296901"
"TRACTCE.1532","218110"
"TRACTCE.1533","224700"
"TRACTCE.1534","543602"
"TRACTCE.1535","541802"
"TRACTCE.1536","431002"
"TRACTCE.1537","232500"
"TRACTCE.1538","310400"
"TRACTCE.1539","212305"
"TRACTCE.1540","101210"
"TRACTCE.1541","209401"
"TRACTCE.1542","199800"
"TRACTCE.1543","533201"
"TRACTCE.1544","226001"
"TRACTCE.1545","534405"
"TRACTCE.1546","572202"
"TRACTCE.1547","209402"
"TRACTCE.1548","501504"
"TRACTCE.1549","274100"
"TRACTCE.1550","900803"
"TRACTCE.1551","405102"
"TRACTCE.1552","535802"
"TRACTCE.1553","602402"
"TRACTCE.1554","241002"
"TRACTCE.1555","574800"
"TRACTCE.1556","910602"
"TRACTCE.1557","481712"
"TRACTCE.1558","300501"
"TRACTCE.1559","208904"
"TRACTCE.1560","220000"
"TRACTCE.1561","109300"
"TRACTCE.1562","980002"
"TRACTCE.1563","134800"
"TRACTCE.1564","117303"
"TRACTCE.1565","402801"
"TRACTCE.1566","460301"
"TRACTCE.1567","900608"
"TRACTCE.1568","183610"
"TRACTCE.1569","571200"
"TRACTCE.1570","602404"
"TRACTCE.1571","240700"
"TRACTCE.1572","535803"
"TRACTCE.1573","532304"
"TRACTCE.1574","900806"
"TRACTCE.1575","297201"
"TRACTCE.1576","219010"
"TRACTCE.1577","293201"
"TRACTCE.1578","551900"
"TRACTCE.1579","127910"
"TRACTCE.1580","481712"
"TRACTCE.1581","532200"
"TRACTCE.1582","535501"
"TRACTCE.1583","530006"
"TRACTCE.1584","104108"
"TRACTCE.1585","104610"
"TRACTCE.1586","900505"
"TRACTCE.1587","106112"
"TRACTCE.1588","535503"
"TRACTCE.1589","900501"
"TRACTCE.1590","311100"
"TRACTCE.1591","207102"
"TRACTCE.1592","134720"
"TRACTCE.1593","535605"
"TRACTCE.1594","209402"
"TRACTCE.1595","431900"
"TRACTCE.1596","232500"
"TRACTCE.1597","534301"
"TRACTCE.1598","400403"
"TRACTCE.1599","207710"
"TRACTCE.1600","535606"
"TRACTCE.1601","402904"
"TRACTCE.1602","503104"
"TRACTCE.1603","554404"
"TRACTCE.1604","226001"
"TRACTCE.1605","502902"
"TRACTCE.1606","553902"
"TRACTCE.1607","195500"
"TRACTCE.1608","131200"
"TRACTCE.1609","430901"
"TRACTCE.1610","293304"
"TRACTCE.1611","920020"
"TRACTCE.1612","650502"
"TRACTCE.1613","555103"
"TRACTCE.1614","554801"
"TRACTCE.1615","407501"
"TRACTCE.1616","900501"
"TRACTCE.1617","432102"
"TRACTCE.1618","120300"
"TRACTCE.1619","311100"
"TRACTCE.1620","536200"
"TRACTCE.1621","190520"
"TRACTCE.1622","800504"
"TRACTCE.1623","407400"
"TRACTCE.1624","482102"
"TRACTCE.1625","920312"
"TRACTCE.1626","702801"
"TRACTCE.1627","127104"
"TRACTCE.1628","212303"
"TRACTCE.1629","531201"
"TRACTCE.1630","227010"
"TRACTCE.1631","124700"
"TRACTCE.1632","433503"
"TRACTCE.1633","231710"
"TRACTCE.1634","201301"
"TRACTCE.1635","302504"
"TRACTCE.1636","575202"
"TRACTCE.1637","405102"
"TRACTCE.1638","533901"
"TRACTCE.1639","131100"
"TRACTCE.1640","541002"
"TRACTCE.1641","302004"
"TRACTCE.1642","482503"
"TRACTCE.1643","109300"
"TRACTCE.1644","404702"
"TRACTCE.1645","575902"
"TRACTCE.1646","302505"
"TRACTCE.1647","572900"
"TRACTCE.1648","570701"
"TRACTCE.1649","433402"
"TRACTCE.1650","207710"
"TRACTCE.1651","122000"
"TRACTCE.1652","651221"
"TRACTCE.1653","124000"
"TRACTCE.1654","575201"
"TRACTCE.1655","401500"
"TRACTCE.1656","900703"
"TRACTCE.1657","534501"
"TRACTCE.1658","209520"
"TRACTCE.1659","408503"
"TRACTCE.1660","128601"
"TRACTCE.1661","297110"
"TRACTCE.1662","550100"
"TRACTCE.1663","481401"
"TRACTCE.1664","294200"
"TRACTCE.1665","920035"
"TRACTCE.1666","502301"
"TRACTCE.1667","531302"
"TRACTCE.1668","269904"
"TRACTCE.1669","433401"
"TRACTCE.1670","221220"
"TRACTCE.1671","401500"
"TRACTCE.1672","296210"
"TRACTCE.1673","404903"
"TRACTCE.1674","228100"
"TRACTCE.1675","431001"
"TRACTCE.1676","553502"
"TRACTCE.1677","570403"
"TRACTCE.1678","131701"
"TRACTCE.1679","503401"
"TRACTCE.1680","237710"
"TRACTCE.1681","208710"
"TRACTCE.1682","226410"
"TRACTCE.1683","700901"
"TRACTCE.1684","482201"
"TRACTCE.1685","231600"
"TRACTCE.1686","404301"
"TRACTCE.1687","462002"
"TRACTCE.1688","212202"
"TRACTCE.1689","109604"
"TRACTCE.1690","531101"
"TRACTCE.1691","191500"
"TRACTCE.1692","600304"
"TRACTCE.1693","241400"
"TRACTCE.1694","206300"
"TRACTCE.1695","222200"
"TRACTCE.1696","401101"
"TRACTCE.1697","237710"
"TRACTCE.1698","600100"
"TRACTCE.1699","297110"
"TRACTCE.1700","199900"
"TRACTCE.1701","403721"
"TRACTCE.1702","204420"
"TRACTCE.1703","570303"
"TRACTCE.1704","406101"
"TRACTCE.1705","575202"
"TRACTCE.1706","311000"
"TRACTCE.1707","554801"
"TRACTCE.1708","234600"
"TRACTCE.1709","406200"
"TRACTCE.1710","111202"
"TRACTCE.1711","533603"
"TRACTCE.1712","241002"
"TRACTCE.1713","209402"
"TRACTCE.1714","240300"
"TRACTCE.1715","209200"
"TRACTCE.1716","910602"
"TRACTCE.1717","551700"
"TRACTCE.1718","104822"
"TRACTCE.1719","532200"
"TRACTCE.1720","400900"
"TRACTCE.1721","237600"
"TRACTCE.1722","401311"
"TRACTCE.1723","543602"
"TRACTCE.1724","208902"
"TRACTCE.1725","125502"
"TRACTCE.1726","402102"
"TRACTCE.1727","501400"
"TRACTCE.1728","482102"
"TRACTCE.1729","103400"
"TRACTCE.1730","431800"
"TRACTCE.1731","540902"
"TRACTCE.1732","553000"
"TRACTCE.1733","501900"
"TRACTCE.1734","131800"
"TRACTCE.1735","540203"
"TRACTCE.1736","402001"
"TRACTCE.1737","119700"
"TRACTCE.1738","600304"
"TRACTCE.1739","540901"
"TRACTCE.1740","570203"
"TRACTCE.1741","311802"
"TRACTCE.1742","267600"
"TRACTCE.1743","500404"
"TRACTCE.1744","203200"
"TRACTCE.1745","430101"
"TRACTCE.1746","543501"
"TRACTCE.1747","123103"
"TRACTCE.1748","226002"
"TRACTCE.1749","572001"
"TRACTCE.1750","203200"
"TRACTCE.1751","111302"
"TRACTCE.1752","197600"
"TRACTCE.1753","555001"
"TRACTCE.1754","128602"
"TRACTCE.1755","204920"
"TRACTCE.1756","209402"
"TRACTCE.1757","237800"
"TRACTCE.1758","211310"
"TRACTCE.1759","504102"
"TRACTCE.1760","204300"
"TRACTCE.1761","572201"
"TRACTCE.1762","550300"
"TRACTCE.1763","224200"
"TRACTCE.1764","189102"
"TRACTCE.1765","910601"
"TRACTCE.1766","650401"
"TRACTCE.1767","900805"
"TRACTCE.1768","543502"
"TRACTCE.1769","432801"
"TRACTCE.1770","620001"
"TRACTCE.1771","104404"
"TRACTCE.1772","121102"
"TRACTCE.1773","121802"
"TRACTCE.1774","910715"
"TRACTCE.1775","122410"
"TRACTCE.1776","226420"
"TRACTCE.1777","550700"
"TRACTCE.1778","109100"
"TRACTCE.1779","401101"
"TRACTCE.1780","203720"
"TRACTCE.1781","602301"
"TRACTCE.1782","231800"
"TRACTCE.1783","204910"
"TRACTCE.1784","122122"
"TRACTCE.1785","270300"
"TRACTCE.1786","297120"
"TRACTCE.1787","920040"
"TRACTCE.1788","226001"
"TRACTCE.1789","113102"
"TRACTCE.1790","212306"
"TRACTCE.1791","293201"
"TRACTCE.1792","406702"
"TRACTCE.1793","910201"
"TRACTCE.1794","920042"
"TRACTCE.1795","570002"
"TRACTCE.1796","533402"
"TRACTCE.1797","310501"
"TRACTCE.1798","576801"
"TRACTCE.1799","531202"
"TRACTCE.1800","139701"
"TRACTCE.1801","541605"
"TRACTCE.1802","214501"
"TRACTCE.1803","232800"
"TRACTCE.1804","531301"
"TRACTCE.1805","432402"
"TRACTCE.1806","199900"
"TRACTCE.1807","432902"
"TRACTCE.1808","212800"
"TRACTCE.1809","482522"
"TRACTCE.1810","211703"
"TRACTCE.1811","530700"
"TRACTCE.1812","221110"
"TRACTCE.1813","222500"
"TRACTCE.1814","192520"
"TRACTCE.1815","239501"
"TRACTCE.1816","231300"
"TRACTCE.1817","402303"
"TRACTCE.1818","602900"
"TRACTCE.1819","500500"
"TRACTCE.1820","124000"
"TRACTCE.1821","576901"
"TRACTCE.1822","190202"
"TRACTCE.1823","601212"
"TRACTCE.1824","550901"
"TRACTCE.1825","191901"
"TRACTCE.1826","218110"
"TRACTCE.1827","620001"
"TRACTCE.1828","120030"
"TRACTCE.1829","209300"
"TRACTCE.1830","213401"
"TRACTCE.1831","542402"
"TRACTCE.1832","542602"
"TRACTCE.1833","535803"
"TRACTCE.1834","534802"
"TRACTCE.1835","702700"
"TRACTCE.1836","190901"
"TRACTCE.1837","208620"
"TRACTCE.1838","107010"
"TRACTCE.1839","603704"
"TRACTCE.1840","920034"
"TRACTCE.1841","201402"
"TRACTCE.1842","128302"
"TRACTCE.1843","267300"
"TRACTCE.1844","501200"
"TRACTCE.1845","267402"
"TRACTCE.1846","433200"
"TRACTCE.1847","910711"
"TRACTCE.1848","113401"
"TRACTCE.1849","542401"
"TRACTCE.1850","900804"
"TRACTCE.1851","125310"
"TRACTCE.1852","128102"
"TRACTCE.1853","188100"
"TRACTCE.1854","407602"
"TRACTCE.1855","211420"
"TRACTCE.1856","402406"
"TRACTCE.1857","602301"
"TRACTCE.1858","191110"
"TRACTCE.1859","554700"
"TRACTCE.1860","231800"
"TRACTCE.1861","620601"
"TRACTCE.1862","551300"
"TRACTCE.1863","218110"
"TRACTCE.1864","224320"
"TRACTCE.1865","406701"
"TRACTCE.1866","213100"
"TRACTCE.1867","187102"
"TRACTCE.1868","201401"
"TRACTCE.1869","540800"
"TRACTCE.1870","191500"
"TRACTCE.1871","433304"
"TRACTCE.1872","910602"
"TRACTCE.1873","554406"
"TRACTCE.1874","543603"
"TRACTCE.1875","503502"
"TRACTCE.1876","197500"
"TRACTCE.1877","124000"
"TRACTCE.1878","555211"
"TRACTCE.1879","104610"
"TRACTCE.1880","232700"
"TRACTCE.1881","213202"
"TRACTCE.1882","113237"
"TRACTCE.1883","500500"
"TRACTCE.1884","203200"
"TRACTCE.1885","407501"
"TRACTCE.1886","408501"
"TRACTCE.1887","462400"
"TRACTCE.1888","910714"
"TRACTCE.1889","530601"
"TRACTCE.1890","531702"
"TRACTCE.1891","901009"
"TRACTCE.1892","127806"
"TRACTCE.1893","190510"
"TRACTCE.1894","403322"
"TRACTCE.1895","601100"
"TRACTCE.1896","132101"
"TRACTCE.1897","702102"
"TRACTCE.1898","533602"
"TRACTCE.1899","531202"
"TRACTCE.1900","554301"
"TRACTCE.1901","540102"
"TRACTCE.1902","221210"
"TRACTCE.1903","241202"
"TRACTCE.1904","554802"
"TRACTCE.1905","542700"
"TRACTCE.1906","534101"
"TRACTCE.1907","204300"
"TRACTCE.1908","535101"
"TRACTCE.1909","204700"
"TRACTCE.1910","124201"
"TRACTCE.1911","296401"
"TRACTCE.1912","119341"
"TRACTCE.1913","127603"
"TRACTCE.1914","240500"
"TRACTCE.1915","535300"
"TRACTCE.1916","534001"
"TRACTCE.1917","192620"
"TRACTCE.1918","125501"
"TRACTCE.1919","600501"
"TRACTCE.1920","269000"
"TRACTCE.1921","403801"
"TRACTCE.1922","226700"
"TRACTCE.1923","533103"
"TRACTCE.1924","113421"
"TRACTCE.1925","534803"
"TRACTCE.1926","402402"
"TRACTCE.1927","576402"
"TRACTCE.1928","113421"
"TRACTCE.1929","460700"
"TRACTCE.1930","554515"
