Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T021_001,ACS15_5yr_B08015001,ACS15_5yr_B08015002,ACS15_5yr_B08015003,ACS15_5yr_B08015001s,ACS15_5yr_B08015002s,ACS15_5yr_B08015003s
6037117405,14000US06037117405,"Census Tract 1174.05, Los Angeles County, California","Census Tract 1174.05, Los Angeles County, California",ca,140,0,ACSSF,3995,,,,,6,37,,,,117405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3818,4.46,1090,780,310,83.03030303,78.18181818,48.48484848
6037117407,14000US06037117407,"Census Tract 1174.07, Los Angeles County, California","Census Tract 1174.07, Los Angeles County, California",ca,140,0,ACSSF,3996,,,,,6,37,,,,117407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3775,4.12,870,560,310,82.42424242,67.27272727,54.54545455
6037117408,14000US06037117408,"Census Tract 1174.08, Los Angeles County, California","Census Tract 1174.08, Los Angeles County, California",ca,140,0,ACSSF,3997,,,,,6,37,,,,117408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3156,3.7,905,545,365,86.66666667,63.63636364,43.03030303
6037117510,14000US06037117510,"Census Tract 1175.10, Los Angeles County, California","Census Tract 1175.10, Los Angeles County, California",ca,140,0,ACSSF,3998,,,,,6,37,,,,117510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3948,4.15,1090,750,340,126.0606061,103.030303,63.03030303
6037117520,14000US06037117520,"Census Tract 1175.20, Los Angeles County, California","Census Tract 1175.20, Los Angeles County, California",ca,140,0,ACSSF,3999,,,,,6,37,,,,117520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4008,4.04,940,525,410,76.36363636,57.57575758,52.72727273
6037117530,14000US06037117530,"Census Tract 1175.30, Los Angeles County, California","Census Tract 1175.30, Los Angeles County, California",ca,140,0,ACSSF,4000,,,,,6,37,,,,117530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6415,4.1,1870,1125,750,156.3636364,127.2727273,90.90909091
6037119001,14000US06037119001,"Census Tract 1190.01, Los Angeles County, California","Census Tract 1190.01, Los Angeles County, California",ca,140,0,ACSSF,4001,,,,,6,37,,,,119001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3941,4.17,1410,755,655,100,73.93939394,51.51515152
6037119002,14000US06037119002,"Census Tract 1190.02, Los Angeles County, California","Census Tract 1190.02, Los Angeles County, California",ca,140,0,ACSSF,4002,,,,,6,37,,,,119002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7038,4.4,2625,1415,1210,235.1515152,147.8787879,129.0909091
6037119201,14000US06037119201,"Census Tract 1192.01, Los Angeles County, California","Census Tract 1192.01, Los Angeles County, California",ca,140,0,ACSSF,4003,,,,,6,37,,,,119201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3966,4.6,1670,980,690,124.2424242,73.93939394,76.96969697
6037119202,14000US06037119202,"Census Tract 1192.02, Los Angeles County, California","Census Tract 1192.02, Los Angeles County, California",ca,140,0,ACSSF,4004,,,,,6,37,,,,119202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4415,4.45,1470,710,760,104.8484848,78.78787879,84.84848485
