Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T057_001
6037570601,14000US06037570601,"Census Tract 5706.01, Los Angeles County, California","Census Tract 5706.01, Los Angeles County, California",ca,140,0,ACSSF,5700,,,,,6,37,,,,570601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5201,5201,17259.97,0.301333056,0.3013331,0.3013331,0,47633
6037570602,14000US06037570602,"Census Tract 5706.02, Los Angeles County, California","Census Tract 5706.02, Los Angeles County, California",ca,140,0,ACSSF,5701,,,,,6,37,,,,570602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6695,6695,16633.27,0.402506498,0.4025065,0.4025065,0,47500
6037570603,14000US06037570603,"Census Tract 5706.03, Los Angeles County, California","Census Tract 5706.03, Los Angeles County, California",ca,140,0,ACSSF,5702,,,,,6,37,,,,570603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4827,4827,17015.69,0.283679307,0.2836793,0.2836793,0,29253
6037570701,14000US06037570701,"Census Tract 5707.01, Los Angeles County, California","Census Tract 5707.01, Los Angeles County, California",ca,140,0,ACSSF,5703,,,,,6,37,,,,570701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6349,6349,9294.387,0.683100462,0.6838545,0.6831005,0.000754058,61662
6037570702,14000US06037570702,"Census Tract 5707.02, Los Angeles County, California","Census Tract 5707.02, Los Angeles County, California",ca,140,0,ACSSF,5704,,,,,6,37,,,,570702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2442,2442,9348.479,0.261218971,0.261219,0.261219,0,74803
6037570800,14000US06037570800,"Census Tract 5708, Los Angeles County, California","Census Tract 5708, Los Angeles County, California",ca,140,0,ACSSF,5705,,,,,6,37,,,,570800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5841,5841,6301.942,0.92685719,0.9271294,0.9268572,0.000272202,80517
6037570901,14000US06037570901,"Census Tract 5709.01, Los Angeles County, California","Census Tract 5709.01, Los Angeles County, California",ca,140,0,ACSSF,5706,,,,,6,37,,,,570901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5637,5637,8041.301,0.701005951,0.7010059,0.7010059,0,90100
6037570902,14000US06037570902,"Census Tract 5709.02, Los Angeles County, California","Census Tract 5709.02, Los Angeles County, California",ca,140,0,ACSSF,5707,,,,,6,37,,,,570902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3946,3946,9679.924,0.407647835,0.4076478,0.4076478,0,82418
6037571000,14000US06037571000,"Census Tract 5710, Los Angeles County, California","Census Tract 5710, Los Angeles County, California",ca,140,0,ACSSF,5708,,,,,6,37,,,,571000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5861,5861,8669.375,0.676057959,0.6760579,0.6760579,0,80380
6037571101,14000US06037571101,"Census Tract 5711.01, Los Angeles County, California","Census Tract 5711.01, Los Angeles County, California",ca,140,0,ACSSF,5709,,,,,6,37,,,,571101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4823,4823,9436.63,0.511093488,0.5110935,0.5110935,0,101759
6037571102,14000US06037571102,"Census Tract 5711.02, Los Angeles County, California","Census Tract 5711.02, Los Angeles County, California",ca,140,0,ACSSF,5710,,,,,6,37,,,,571102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3622,3622,7478.849,0.484299155,0.4842992,0.4842992,0,84845
6037571200,14000US06037571200,"Census Tract 5712, Los Angeles County, California","Census Tract 5712, Los Angeles County, California",ca,140,0,ACSSF,5711,,,,,6,37,,,,571200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8029,8029,7928.848,1.012631333,1.012631,1.012631,0,78481
6037571300,14000US06037571300,"Census Tract 5713, Los Angeles County, California","Census Tract 5713, Los Angeles County, California",ca,140,0,ACSSF,5712,,,,,6,37,,,,571300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4304,4304,5452.572,0.789352306,0.806025,0.7893523,0.01667266,102522
6037571400,14000US06037571400,"Census Tract 5714, Los Angeles County, California","Census Tract 5714, Los Angeles County, California",ca,140,0,ACSSF,5713,,,,,6,37,,,,571400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4725,4725,5691.94,0.830121221,0.8331262,0.8301212,0.003005033,77193
6037571502,14000US06037571502,"Census Tract 5715.02, Los Angeles County, California","Census Tract 5715.02, Los Angeles County, California",ca,140,0,ACSSF,5714,,,,,6,37,,,,571502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4598,4598,8663.755,0.530716745,0.5316361,0.5307167,0.000919309,58480
6037571503,14000US06037571503,"Census Tract 5715.03, Los Angeles County, California","Census Tract 5715.03, Los Angeles County, California",ca,140,0,ACSSF,5715,,,,,6,37,,,,571503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3620,3620,10314.49,0.35096263,0.3509626,0.3509626,0,79545
6037571504,14000US06037571504,"Census Tract 5715.04, Los Angeles County, California","Census Tract 5715.04, Los Angeles County, California",ca,140,0,ACSSF,5716,,,,,6,37,,,,571504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4801,4801,8098.183,0.592849079,0.5928491,0.5928491,0,54602
6037571600,14000US06037571600,"Census Tract 5716, Los Angeles County, California","Census Tract 5716, Los Angeles County, California",ca,140,0,ACSSF,5717,,,,,6,37,,,,571600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1933,1933,17326.58,0.111562679,0.1115627,0.1115627,0,12826
6037571701,14000US06037571701,"Census Tract 5717.01, Los Angeles County, California","Census Tract 5717.01, Los Angeles County, California",ca,140,0,ACSSF,5718,,,,,6,37,,,,571701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6484,6484,9822.938,0.660087614,0.7350636,0.6600876,0.07497602,46179
6037571703,14000US06037571703,"Census Tract 5717.03, Los Angeles County, California","Census Tract 5717.03, Los Angeles County, California",ca,140,0,ACSSF,5719,,,,,6,37,,,,571703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3676,3676,23952.95,0.153467506,0.1534675,0.1534675,0,32333
6037571704,14000US06037571704,"Census Tract 5717.04, Los Angeles County, California","Census Tract 5717.04, Los Angeles County, California",ca,140,0,ACSSF,5720,,,,,6,37,,,,571704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3808,3808,20479.57,0.185941402,0.1859414,0.1859414,0,45294
6037571800,14000US06037571800,"Census Tract 5718, Los Angeles County, California","Census Tract 5718, Los Angeles County, California",ca,140,0,ACSSF,5721,,,,,6,37,,,,571800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3155,3155,3119.186,1.011481906,1.071312,1.011482,0.05983039,96553
6037571900,14000US06037571900,"Census Tract 5719, Los Angeles County, California","Census Tract 5719, Los Angeles County, California",ca,140,0,ACSSF,5722,,,,,6,37,,,,571900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5934,5934,7901.916,0.750957147,0.7509571,0.7509571,0,69207
6037572001,14000US06037572001,"Census Tract 5720.01, Los Angeles County, California","Census Tract 5720.01, Los Angeles County, California",ca,140,0,ACSSF,5723,,,,,6,37,,,,572001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5436,5436,9763.631,0.556760109,0.5567601,0.5567601,0,79643
6037572002,14000US06037572002,"Census Tract 5720.02, Los Angeles County, California","Census Tract 5720.02, Los Angeles County, California",ca,140,0,ACSSF,5724,,,,,6,37,,,,572002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5407,5407,13387.27,0.40389106,0.4038911,0.4038911,0,64131
6037572100,14000US06037572100,"Census Tract 5721, Los Angeles County, California","Census Tract 5721, Los Angeles County, California",ca,140,0,ACSSF,5725,,,,,6,37,,,,572100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1070,1070,4098.719,0.261057194,0.3047458,0.2610572,0.04368862,103365
6037572201,14000US06037572201,"Census Tract 5722.01, Los Angeles County, California","Census Tract 5722.01, Los Angeles County, California",ca,140,0,ACSSF,5726,,,,,6,37,,,,572201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7207,7207,12172.59,0.592067994,0.6000723,0.592068,0.008004284,72701
6037572202,14000US06037572202,"Census Tract 5722.02, Los Angeles County, California","Census Tract 5722.02, Los Angeles County, California",ca,140,0,ACSSF,5727,,,,,6,37,,,,572202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3681,3681,6264.198,0.587625116,0.5993143,0.5876251,0.01168924,84000
6037572301,14000US06037572301,"Census Tract 5723.01, Los Angeles County, California","Census Tract 5723.01, Los Angeles County, California",ca,140,0,ACSSF,5728,,,,,6,37,,,,572301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3885,3885,12352.05,0.314522693,0.3145227,0.3145227,0,46950
6037572302,14000US06037572302,"Census Tract 5723.02, Los Angeles County, California","Census Tract 5723.02, Los Angeles County, California",ca,140,0,ACSSF,5729,,,,,6,37,,,,572302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3967,3967,14603.4,0.271649135,0.2896724,0.2716491,0.01802325,57070
6037572400,14000US06037572400,"Census Tract 5724, Los Angeles County, California","Census Tract 5724, Los Angeles County, California",ca,140,0,ACSSF,5730,,,,,6,37,,,,572400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1102,1102,5168.607,0.213210254,0.2158408,0.2132103,0.002630514,67235
6037572500,14000US06037572500,"Census Tract 5725, Los Angeles County, California","Census Tract 5725, Los Angeles County, California",ca,140,0,ACSSF,5731,,,,,6,37,,,,572500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3315,3315,14485.81,0.22884469,0.2288447,0.2288447,0,20972
6037572600,14000US06037572600,"Census Tract 5726, Los Angeles County, California","Census Tract 5726, Los Angeles County, California",ca,140,0,ACSSF,5732,,,,,6,37,,,,572600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5388,5388,11407.25,0.472331146,0.4913664,0.4723311,0.01903522,68821
6037572700,14000US06037572700,"Census Tract 5727, Los Angeles County, California","Census Tract 5727, Los Angeles County, California",ca,140,0,ACSSF,5733,,,,,6,37,,,,572700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5449,5449,14080.29,0.386994843,0.4148262,0.3869948,0.0278314,53648
6037572800,14000US06037572800,"Census Tract 5728, Los Angeles County, California","Census Tract 5728, Los Angeles County, California",ca,140,0,ACSSF,5734,,,,,6,37,,,,572800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1100,2650.746,0.414977598,0.4149776,0.4149776,0,19909
6037572900,14000US06037572900,"Census Tract 5729, Los Angeles County, California","Census Tract 5729, Los Angeles County, California",ca,140,0,ACSSF,5735,,,,,6,37,,,,572900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5314,5314,19725.14,0.269402406,0.2981327,0.2694024,0.02873025,37027
6037573002,14000US06037573002,"Census Tract 5730.02, Los Angeles County, California","Census Tract 5730.02, Los Angeles County, California",ca,140,0,ACSSF,5736,,,,,6,37,,,,573002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3923,3923,31310.84,0.125292086,0.1252921,0.1252921,0,28750
